loss,accuracy
9.565053388476372,0.03219945728778839
9.489407643675804,0.10784520208835602
9.473976001143456,0.12327684462070465
9.505805544555187,0.09144730120897293
9.575570600107312,0.021682245656847954
9.539338052272797,0.057914793491363525
9.5879358490929,0.009316996671259403
9.51450951397419,0.0827433317899704
9.578294608741999,0.018958237022161484
9.569355998188257,0.02789684757590294
9.576093059033155,0.021159786731004715
9.592085292562842,0.005167553201317787
9.595378839760087,0.0018740060040727258
9.552647903561592,0.044604942202568054
9.55937572568655,0.037877120077610016
9.581995067186654,0.015257778577506542
9.585456241853535,0.011796603910624981
9.405202373862267,0.19205047190189362
9.587175664491951,0.01007718127220869
9.192662566900253,0.40459027886390686
9.583368157967925,0.013884687796235085
9.383142948150635,0.2141098976135254
9.183476358652115,0.4137764871120453
9.576206728816032,0.021046116948127747
9.59523942694068,0.002013418823480606
9.547303076833487,0.0499497689306736
9.420553341507912,0.17669950425624847
9.534140594303608,0.06311225146055222
9.546659648418427,0.05059319734573364
9.585676747374237,0.011576098389923573
9.590069088153541,0.007183757610619068
9.597114348798641,0.00013849696551915258
9.515317268669605,0.0819355770945549
9.591319701634347,0.0059331441298127174
9.339340835809708,0.2579120099544525
8.888568460941315,0.7086843848228455
9.5158776268363,0.08137521892786026
9.555794358253479,0.04145848751068115
9.458881795406342,0.1383710503578186
9.573113080114126,0.02413976565003395
9.389253720641136,0.207999125123024
9.549636114388704,0.047616731375455856
9.445033237338066,0.15221960842609406
9.116841733455658,0.4804111123085022
9.595300655229948,0.0019521905342116952
9.53437715768814,0.06287568807601929
9.541123263537884,0.0561295822262764
9.46053096652031,0.1367218792438507
9.534698612987995,0.06255423277616501
9.59351792302914,0.0037349227350205183
9.596499298233539,0.0007535475306212902
